	id	keywords	text	timestamp	language	user_id	hashtags	geo	coordinates	place	user_timezone
997	479524957462867969	buy oil	@YusufDFI @ashokkmrsingh @PMOIndia We spend our money to buy gulf oil and from the profits they return us pakistani terrorists.	1403148233.0	en	112723131					Chennai
998	479538853188222976	oil industry	RT @BloombergNews: BREAKING: Norges Bank signals potential cut as oil industry boom fades http://t.co/oWSqP7Dc9G	1403151546.0	en	1970475248					
999	479556641260847104	fuel oil	India plans more transparent Iran oil payments - sources: A worker holds a fuel nozzle at a petrol... http://t.co/lQQoIPEdrn @ukti_india	1403155787.0	en	18850192					London
1000	479565277336576000	oil stocks	Fed-fueled stocks fly, dollar sags; oil nine-month high on Iraq: London(Reuters) - Global stocks and emerging market assets rallied o...	1403157846.0	en	1028454576					
1001	479568947352580097	oil market	(#Team Lil Wayne) Turmoil in Iraq Is Pushing up US Gasoline Prices: Jittery oil market pushes av... http://t.co/U4ygOZ0uj9 (@Dmjeferson)	1403158721.0	en	1705997294	Team				Atlantic Time (Canada)
1002	479569941381664768	oil market	[ #FrancisSantana_] Turmoil in Iraq Is Pushing up US Gasoline Prices: Jittery oil market pushes average gasoli... http://t.co/o8DlAN02U0	1403158958.0	en	977385404	FrancisSantana_				Brasilia
1003	479581731561820160	oil prices	RT @EnergyfromShale: Why oil prices have stayed level despite geopolitical turmoil http://t.co/aBuUn6303n via @CBSNews #fracking http://t.c…	1403161769.0	en	108989567	fracking				Pacific Time (US & Canada)
1004	479583069540597760	oil market	#MakinaHD Turmoil in Iraq Is Pushing up US Gasoline Prices: Jittery oil market pushes average g... http://t.co/Z0IvKfhxXZ #FamiilyPretty	1403162088.0	en	1319052168	MakinaHD#FamiilyPretty				Brasilia
1005	479583916798783489	trade oil	US should embargo Iraq, free themselves from oil dependency in the middle east- open the gates to trade with Cuba- sit back and have a smoke	1403162290.0	en	108444007					Eastern Time (US & Canada)
1006	479590459916824576	oil price	Turmoil in Iraq Is Pushing up US Gasoline Prices: Jittery oil market pushes average gasoline price to highest ... http://t.co/xLLxBqENpA	1403163850.0	en	2241037393					
1007	479591458161172480	oil industry	RT @OBAMA_CZAR: DEMs dismissed the ethical oil argument, accusing it of being a mouthpiece of the domestic oil industry with ties to the GO…	1403164088.0	en	750452695					
1008	479592963903746049	oil prices	RT @marstraveler: Gas Prices On The Rise Because Of  Iraq?  They Only Supply 6% Of Oil To The US!  This Is Gouging By Wall Street To Make B…	1403164447.0	en	323348405					Central Time (US & Canada)
1009	479594637464985600	oil prices	Here are 4 things to consider when oil prices rise http://t.co/JTmRXhEnyC	1403164846.0	en	16746076					Eastern Time (US & Canada)
1010	479596977848459266	oil price	#Dime_Miloko Turmoil in Iraq Is Pushing up US Gasoline Prices: Jittery oil market pushes average gasoline price to highest for this t...	1403165404.0	en	1849434908	Dime_Miloko				Azores
1011	479610504495656960	oil prices	Rising oil prices can be a sign of global economic strength, or else they can be caused by geopolitical crises..In t…http://t.co/gZAlhUcwGg	1403168629.0	en	410907482					
1012	479621002822189056	oil industry	Norway's oil industry in talks to avert strike by onshore workers - Reuters Africa http://t.co/0HrE5AIEQP	1403171132.0	en	478936375					Eastern Time (US & Canada)
1013	479623364223324160	oil companies	Oil hits 9-month high near $115 on Iraq turmoil. Oil &amp; Gas companies like ONGC, RIL, BPCL, HPCL expected to continue down movement.	1403171695.0	en	2565121584					
1014	479626283458895873	oil gas news	"Moneycontrol News : Sensex, Nifty end flat; Oil &amp; Gas slips 3%, IT gains 2%

Full News: http://t.co/UJcFXpmM8A"	1403172391.0	en	151417885					Chennai
1015	479627529163010048	oil companies	"How One Kentucky Town Is Fighting Back Against The Greed Of Oil Companies
http://t.co/fF9xok9ONa"	1403172688.0	en	101896310					
1016	479629651498000384	oil companies	RT @HackRead: Anonymous hackers will attack some major oil rich countries and oil exporting companies tomorrow on 20th June... http://t.co/…	1403173194.0	en	24428084					
1017	479637633266491393	crude oil	New article: Crude Oil Stalls Near 104 Level, SPX 500 Poised to Test 1900 Again read more at here http://t.co/qGLlw0gWlI	1403175097.0	en	221776077					
1018	479640858686668800	crude prices	@aneejnigeria #fuelSubsidy is one of d palliative measures countries adopt to stabilize d effect of local prices of crude on its masses.	1403175866.0	en	1068029564	fuelSubsidy				Amsterdam
